id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
52,1,2,40.1,18.9,188,4300,1,2008
53,1,2,35,17.9,190,3450,0,2008
54,1,2,42,19.5,200,4050,1,2008
55,1,2,34.5,18.1,187,2900,0,2008
56,1,2,41.4,18.6,191,3700,1,2008
57,1,2,39,17.5,186,3550,0,2008
58,1,2,40.6,18.8,193,3800,1,2008
59,1,2,36.5,16.6,181,2850,0,2008
60,1,2,37.6,19.1,194,3750,1,2008
61,1,2,35.7,16.9,185,3150,0,2008
62,1,2,41.3,21.1,195,4400,1,2008
63,1,2,37.6,17,185,3600,0,2008
64,1,2,41.1,18.2,192,4050,1,2008
65,1,2,36.4,17.1,184,2850,0,2008
66,1,2,41.6,18,192,3950,1,2008
67,1,2,35.5,16.2,195,3350,0,2008
68,1,2,41.1,19.1,188,4100,1,2008
69,1,1,35.9,16.6,190,3050,0,2008
70,1,1,41.8,19.4,198,4450,1,2008
71,1,1,33.5,19,190,3600,0,2008
72,1,1,39.7,18.4,190,3900,1,2008
73,1,1,39.6,17.2,196,3550,0,2008
74,1,1,45.8,18.9,197,4150,1,2008
75,1,1,35.5,17.5,190,3700,0,2008
76,1,1,42.8,18.5,195,4250,1,2008
77,1,1,40.9,16.8,191,3700,0,2008
78,1,1,37.2,19.4,184,3900,1,2008
79,1,1,36.2,16.1,187,3550,0,2008
80,1,1,42.1,19.1,195,4000,1,2008
81,1,1,34.6,17.2,189,3200,0,2008
82,1,1,42.9,17.6,196,4700,1,2008
83,1,1,36.7,18.8,187,3800,0,2008
84,1,1,35.1,19.4,193,4200,1,2008
85,1,3,37.3,17.8,191,3350,0,2008
86,1,3,41.3,20.3,194,3550,1,2008
87,1,3,36.3,19.5,190,3800,1,2008
88,1,3,36.9,18.6,189,3500,0,2008
89,1,3,38.3,19.2,189,3950,1,2008
90,1,3,38.9,18.8,190,3600,0,2008
91,1,3,35.7,18,202,3550,0,2008
92,1,3,41.1,18.1,205,4300,1,2008
93,1,3,34,17.1,185,3400,0,2008
94,1,3,39.6,18.1,186,4450,1,2008
95,1,3,36.2,17.3,187,3300,0,2008
96,1,3,40.8,18.9,208,4300,1,2008
97,1,3,38.1,18.6,190,3700,0,2008
98,1,3,40.3,18.5,196,4350,1,2008
99,1,3,33.1,16.1,178,2900,0,2008
100,1,3,43.2,18.5,192,4100,1,2008
101,1,2,35,17.9,192,3725,0,2009
102,1,2,41,20,203,4725,1,2009
103,1,2,37.7,16,183,3075,0,2009
104,1,2,37.8,20,190,4250,1,2009
105,1,2,37.9,18.6,193,2925,0,2009
106,1,2,39.7,18.9,184,3550,1,2009
107,1,2,38.6,17.2,199,3750,0,2009
108,1,2,38.2,20,190,3900,1,2009
109,1,2,38.1,17,181,3175,0,2009
110,1,2,43.2,19,197,4775,1,2009
111,1,2,38.1,16.5,198,3825,0,2009
112,1,2,45.6,20.3,191,4600,1,2009
113,1,2,39.7,17.7,193,3200,0,2009
114,1,2,42.2,19.5,197,4275,1,2009
115,1,2,39.6,20.7,191,3900,0,2009
116,1,2,42.7,18.3,196,4075,1,2009
117,1,1,38.6,17,188,2900,0,2009
118,1,1,37.3,20.5,199,3775,1,2009
119,1,1,35.7,17,189,3350,0,2009
120,1,1,41.1,18.6,189,3325,1,2009
121,1,1,36.2,17.2,187,3150,0,2009
122,1,1,37.7,19.8,198,3500,1,2009
123,1,1,40.2,17,176,3450,0,2009
124,1,1,41.4,18.5,202,3875,1,2009
125,1,1,35.2,15.9,186,3050,0,2009
126,1,1,40.6,19,199,4000,1,2009
127,1,1,38.8,17.6,191,3275,0,2009
128,1,1,41.5,18.3,195,4300,1,2009
129,1,1,39,17.1,191,3050,0,2009
130,1,1,44.1,18,210,4000,1,2009
131,1,1,38.5,17.9,190,3325,0,2009
132,1,1,43.1,19.2,197,3500,1,2009
133,1,3,36.8,18.5,193,3500,0,2009
134,1,3,37.5,18.5,199,4475,1,2009
135,1,3,38.1,17.6,187,3425,0,2009
136,1,3,41.1,17.5,190,3900,1,2009
137,1,3,35.6,17.5,191,3175,0,2009
138,1,3,40.2,20.1,200,3975,1,2009
139,1,3,37,16.5,185,3400,0,2009
140,1,3,39.7,17.9,193,4250,1,2009
141,1,3,40.2,17.1,193,3400,0,2009
142,1,3,40.6,17.2,187,3475,1,2009
143,1,3,32.1,15.5,188,3050,0,2009
144,1,3,40.7,17,190,3725,1,2009
145,1,3,37.3,16.8,192,3000,0,2009
146,1,3,39,18.7,185,3650,1,2009
147,1,3,39.2,18.6,190,4250,1,2009
148,1,3,36.6,18.4,184,3475,0,2009
149,1,3,36,17.8,195,3450,0,2009
150,1,3,37.8,18.1,193,3750,1,2009
151,1,3,36,17.1,187,3700,0,2009
152,1,3,41.5,18.5,201,4000,1,2009
153,2,2,46.1,13.2,211,4500,0,2007
154,2,2,50,16.3,230,5700,1,2007
155,2,2,48.7,14.1,210,4450,0,2007
156,2,2,50,15.2,218,5700,1,2007
157,2,2,47.6,14.5,215,5400,1,2007
158,2,2,46.5,13.5,210,4550,0,2007
159,2,2,45.4,14.6,211,4800,0,2007
160,2,2,46.7,15.3,219,5200,1,2007
161,2,2,43.3,13.4,209,4400,0,2007
162,2,2,46.8,15.4,215,5150,1,2007
163,2,2,40.9,13.7,214,4650,0,2007
164,2,2,49,16.1,216,5550,1,2007
165,2,2,45.5,13.7,214,4650,0,2007
166,2,2,48.4,14.6,213,5850,1,2007
167,2,2,45.8,14.6,210,4200,0,2007
168,2,2,49.3,15.7,217,5850,1,2007
169,2,2,42,13.5,210,4150,0,2007
170,2,2,49.2,15.2,221,6300,1,2007
171,2,2,46.2,14.5,209,4800,0,2007
172,2,2,48.7,15.1,222,5350,1,2007
173,2,2,50.2,14.3,218,5700,1,2007
174,2,2,45.1,14.5,215,5000,0,2007
175,2,2,46.5,14.5,213,4400,0,2007
176,2,2,46.3,15.8,215,5050,1,2007
177,2,2,42.9,13.1,215,5000,0,2007
178,2,2,46.1,15.1,215,5100,1,2007
180,2,2,47.8,15,215,5650,1,2007
181,2,2,48.2,14.3,210,4600,0,2007
182,2,2,50,15.3,220,5550,1,2007
183,2,2,47.3,15.3,222,5250,1,2007
184,2,2,42.8,14.2,209,4700,0,2007
185,2,2,45.1,14.5,207,5050,0,2007
186,2,2,59.6,17,230,6050,1,2007
187,2,2,49.1,14.8,220,5150,0,2008
188,2,2,48.4,16.3,220,5400,1,2008
189,2,2,42.6,13.7,213,4950,0,2008
190,2,2,44.4,17.3,219,5250,1,2008
191,2,2,44,13.6,208,4350,0,2008
192,2,2,48.7,15.7,208,5350,1,2008
193,2,2,42.7,13.7,208,3950,0,2008
194,2,2,49.6,16,225,5700,1,2008
195,2,2,45.3,13.7,210,4300,0,2008
196,2,2,49.6,15,216,4750,1,2008
197,2,2,50.5,15.9,222,5550,1,2008
198,2,2,43.6,13.9,217,4900,0,2008
199,2,2,45.5,13.9,210,4200,0,2008
200,2,2,50.5,15.9,225,5400,1,2008
201,2,2,44.9,13.3,213,5100,0,2008
202,2,2,45.2,15.8,215,5300,1,2008
203,2,2,46.6,14.2,210,4850,0,2008
204,2,2,48.5,14.1,220,5300,1,2008
205,2,2,45.1,14.4,210,4400,0,2008
206,2,2,50.1,15,225,5000,1,2008
207,2,2,46.5,14.4,217,4900,0,2008
208,2,2,45,15.4,220,5050,1,2008
209,2,2,43.8,13.9,208,4300,0,2008
210,2,2,45.5,15,220,5000,1,2008
211,2,2,43.2,14.5,208,4450,0,2008
212,2,2,50.4,15.3,224,5550,1,2008
213,2,2,45.3,13.8,208,4200,0,2008
214,2,2,46.2,14.9,221,5300,1,2008
215,2,2,45.7,13.9,214,4400,0,2008
216,2,2,54.3,15.7,231,5650,1,2008
217,2,2,45.8,14.2,219,4700,0,2008
218,2,2,49.8,16.8,230,5700,1,2008
220,2,2,49.5,16.2,229,5800,1,2008
221,2,2,43.5,14.2,220,4700,0,2008
222,2,2,50.7,15,223,5550,1,2008
223,2,2,47.7,15,216,4750,0,2008
224,2,2,46.4,15.6,221,5000,1,2008
225,2,2,48.2,15.6,221,5100,1,2008
226,2,2,46.5,14.8,217,5200,0,2008
227,2,2,46.4,15,216,4700,0,2008
228,2,2,48.6,16,230,5800,1,2008
229,2,2,47.5,14.2,209,4600,0,2008
230,2,2,51.1,16.3,220,6000,1,2008
231,2,2,45.2,13.8,215,4750,0,2008
232,2,2,45.2,16.4,223,5950,1,2008
233,2,2,49.1,14.5,212,4625,0,2009
234,2,2,52.5,15.6,221,5450,1,2009
235,2,2,47.4,14.6,212,4725,0,2009
236,2,2,50,15.9,224,5350,1,2009
237,2,2,44.9,13.8,212,4750,0,2009
238,2,2,50.8,17.3,228,5600,1,2009
239,2,2,43.4,14.4,218,4600,0,2009
240,2,2,51.3,14.2,218,5300,1,2009
241,2,2,47.5,14,212,4875,0,2009
242,2,2,52.1,17,230,5550,1,2009
243,2,2,47.5,15,218,4950,0,2009
244,2,2,52.2,17.1,228,5400,1,2009
245,2,2,45.5,14.5,212,4750,0,2009
246,2,2,49.5,16.1,224,5650,1,2009
247,2,2,44.5,14.7,214,4850,0,2009
248,2,2,50.8,15.7,226,5200,1,2009
249,2,2,49.4,15.8,216,4925,1,2009
250,2,2,46.9,14.6,222,4875,0,2009
251,2,2,48.4,14.4,203,4625,0,2009
252,2,2,51.1,16.5,225,5250,1,2009
253,2,2,48.5,15,219,4850,0,2009
254,2,2,55.9,17,228,5600,1,2009
255,2,2,47.2,15.5,215,4975,0,2009
256,2,2,49.1,15,228,5500,1,2009
258,2,2,46.8,16.1,215,5500,1,2009
259,2,2,41.7,14.7,210,4700,0,2009
260,2,2,53.4,15.8,219,5500,1,2009
261,2,2,43.3,14,208,4575,0,2009
262,2,2,48.1,15.1,209,5500,1,2009
263,2,2,50.5,15.2,216,5000,0,2009
264,2,2,49.8,15.9,229,5950,1,2009
265,2,2,43.5,15.2,213,4650,0,2009
266,2,2,51.5,16.3,230,5500,1,2009
267,2,2,46.2,14.1,217,4375,0,2009
268,2,2,55.1,16,230,5850,1,2009
270,2,2,48.8,16.2,222,6000,1,2009
271,2,2,47.2,13.7,214,4925,0,2009
273,2,2,46.8,14.3,215,4850,0,2009
274,2,2,50.4,15.7,222,5750,1,2009
275,2,2,45.2,14.8,212,5200,0,2009
276,2,2,49.9,16.1,213,5400,1,2009
277,3,3,46.5,17.9,192,3500,0,2007
278,3,3,50,19.5,196,3900,1,2007
279,3,3,51.3,19.2,193,3650,1,2007
280,3,3,45.4,18.7,188,3525,0,2007
281,3,3,52.7,19.8,197,3725,1,2007
282,3,3,45.2,17.8,198,3950,0,2007
283,3,3,46.1,18.2,178,3250,0,2007
284,3,3,51.3,18.2,197,3750,1,2007
285,3,3,46,18.9,195,4150,0,2007
286,3,3,51.3,19.9,198,3700,1,2007
287,3,3,46.6,17.8,193,3800,0,2007
288,3,3,51.7,20.3,194,3775,1,2007
289,3,3,47,17.3,185,3700,0,2007
290,3,3,52,18.1,201,4050,1,2007
291,3,3,45.9,17.1,190,3575,0,2007
292,3,3,50.5,19.6,201,4050,1,2007
293,3,3,50.3,20,197,3300,1,2007
294,3,3,58,17.8,181,3700,0,2007
295,3,3,46.4,18.6,190,3450,0,2007
296,3,3,49.2,18.2,195,4400,1,2007
297,3,3,42.4,17.3,181,3600,0,2007
298,3,3,48.5,17.5,191,3400,1,2007
299,3,3,43.2,16.6,187,2900,0,2007
300,3,3,50.6,19.4,193,3800,1,2007
301,3,3,46.7,17.9,195,3300,0,2007
302,3,3,52,19,197,4150,1,2007
303,3,3,50.5,18.4,200,3400,0,2008
304,3,3,49.5,19,200,3800,1,2008
305,3,3,46.4,17.8,191,3700,0,2008
306,3,3,52.8,20,205,4550,1,2008
307,3,3,40.9,16.6,187,3200,0,2008
308,3,3,54.2,20.8,201,4300,1,2008
309,3,3,42.5,16.7,187,3350,0,2008
310,3,3,51,18.8,203,4100,1,2008
311,3,3,49.7,18.6,195,3600,1,2008
312,3,3,47.5,16.8,199,3900,0,2008
313,3,3,47.6,18.3,195,3850,0,2008
314,3,3,52,20.7,210,4800,1,2008
315,3,3,46.9,16.6,192,2700,0,2008
316,3,3,53.5,19.9,205,4500,1,2008
317,3,3,49,19.5,210,3950,1,2008
318,3,3,46.2,17.5,187,3650,0,2008
319,3,3,50.9,19.1,196,3550,1,2008
320,3,3,45.5,17,196,3500,0,2008
321,3,3,50.9,17.9,196,3675,0,2009
322,3,3,50.8,18.5,201,4450,1,2009
323,3,3,50.1,17.9,190,3400,0,2009
324,3,3,49,19.6,212,4300,1,2009
325,3,3,51.5,18.7,187,3250,1,2009
326,3,3,49.8,17.3,198,3675,0,2009
327,3,3,48.1,16.4,199,3325,0,2009
328,3,3,51.4,19,201,3950,1,2009
329,3,3,45.7,17.3,193,3600,0,2009
330,3,3,50.7,19.7,203,4050,1,2009
331,3,3,42.5,17.3,187,3350,0,2009
332,3,3,52.2,18.8,197,3450,1,2009
333,3,3,45.2,16.6,191,3250,0,2009
334,3,3,49.3,19.9,203,4050,1,2009
335,3,3,50.2,18.8,202,3800,1,2009
336,3,3,45.6,19.4,194,3525,0,2009
337,3,3,51.9,19.5,206,3950,1,2009
338,3,3,46.8,16.5,189,3650,0,2009
339,3,3,45.7,17,195,3650,0,2009
340,3,3,55.8,19.8,207,4000,1,2009
341,3,3,43.5,18.1,202,3400,0,2009
342,3,3,49.6,18.2,193,3775,1,2009
343,3,3,50.8,19,210,4100,1,2009
344,3,3,50.2,18.7,198,3775,0,2009
